"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20"
"OTU_97.10770",1,2,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,4,0,0
"OTU_97.10782",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10797",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10801",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10805",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2
"OTU_97.10813",28,78,0,11,0,13,3,513,1,1,0,3,0,13,1,0,1,9,5,28
"OTU_97.10821",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10828",0,1,0,0,0,0,0,2,0,0,2,0,3,0,0,4,0,0,0,1
"OTU_97.10835",0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,0,6,0
"OTU_97.10838",0,0,0,2,0,0,0,4,1,0,5,0,0,0,0,0,0,0,0,0
"OTU_97.10839",17,0,3,0,0,0,0,0,1,8,0,71,0,3,44,0,16,6,103,29
"OTU_97.1084",0,1,0,6,0,4,0,1,2,0,5,0,4,5,0,2,0,1,4,2
"OTU_97.10843",3,0,0,1,0,0,0,15,15,0,0,3,1,0,0,3,0,0,0,0
"OTU_97.10851",4,0,1,1,0,0,2,21,1,0,0,0,1,1,0,0,0,1,6,0
"OTU_97.10854",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_97.10855",0,0,0,0,1,0,0,4,0,0,2,3,0,1,0,0,0,0,1,0
"OTU_97.10857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10860",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10865",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0
"OTU_97.10868",27,2,0,11,0,68,1,0,49,0,6,35,0,0,0,0,0,0,0,5
"OTU_97.10875",20,0,0,1,0,0,0,0,19,10,0,0,0,0,0,7,8,1,18,2
"OTU_97.10876",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10883",0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,3,2,0,0
"OTU_97.10886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10899",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10907",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.10912",0,5,0,1,2,0,0,0,2,0,1,0,15,1,1,1,0,0,2,0
"OTU_97.10914",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"OTU_97.10918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"OTU_97.10922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10926",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.1093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10931",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10938",0,2,0,0,0,0,0,11,23,6,1,2,12,0,23,0,1,0,12,14
"OTU_97.1096",5,0,0,1,8,66,2,0,5,5,5,1,30,0,10,0,1,0,46,10
"OTU_97.10967",2,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,0,2,0
"OTU_97.10972",0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
"OTU_97.10986",0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,1,0,0
"OTU_97.1099",0,0,0,0,3,0,17,0,0,2,0,3,0,1,5,0,0,2,0,1
"OTU_97.10994",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"OTU_97.10995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.10999",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.11",0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0
"OTU_97.11007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11015",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"OTU_97.11027",1,0,0,0,0,1,2,4,0,0,0,0,5,0,0,0,0,0,0,0
"OTU_97.1103",23,11,1,50,1,34,5,12,0,0,32,14,8,0,0,1,33,44,2,0
"OTU_97.11038",0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"OTU_97.11039",1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.11045",0,1,0,0,0,0,1,1,0,0,0,6,10,0,0,0,2,0,2,2
"OTU_97.11046",3,0,0,0,4,2,0,0,4,0,0,0,12,3,0,0,0,1,0,0
"OTU_97.1105",61,3,0,0,0,2,0,0,3,1,1,3,12,5,0,31,0,0,102,2
"OTU_97.11052",1,0,1,0,0,3,3,8,1,0,0,0,0,0,1,0,0,2,0,0
"OTU_97.11054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11068",1,0,0,0,1,3,1,0,0,2,0,0,1,0,0,0,0,1,0,0
"OTU_97.11069",1,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
"OTU_97.11085",0,0,0,1,0,0,0,6,3,0,0,0,2,0,1,0,1,1,0,0
"OTU_97.11092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11096",0,6,0,0,0,0,0,0,1,0,0,2,1,0,0,0,7,0,0,0
"OTU_97.11102",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3
"OTU_97.11105",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"OTU_97.11110",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11122",1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OTU_97.11123",0,0,0,1,0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0
"OTU_97.11124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11125",0,0,0,2,6,0,0,0,1,0,0,0,0,1,3,8,1,0,0,0
"OTU_97.11127",0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"OTU_97.11132",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.11136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11139",0,0,3,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,1,0
"OTU_97.11140",0,0,0,32,1,1,4,0,0,0,9,69,14,31,27,0,0,1,1,38
"OTU_97.11145",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11162",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"OTU_97.11166",2,1,0,1,1,0,0,16,0,0,0,0,0,2,0,0,1,9,0,1
"OTU_97.11178",22,8,7,0,11,8,1,0,12,32,6,7,143,1,14,6,0,25,0,2
"OTU_97.1118",0,0,0,0,1,0,0,1,2,0,5,0,0,0,0,4,0,3,0,6
"OTU_97.11183",70,0,2,0,6,18,46,21,0,2,0,10,1,1,3,6,3,0,27,5
"OTU_97.11191",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.1120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11202",3,8,0,0,0,0,1,1,0,0,0,14,6,2,0,3,4,0,0,0
"OTU_97.11204",0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"OTU_97.11214",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0
"OTU_97.1122",0,0,1,4,0,6,7,12,15,14,0,3,0,2,0,0,0,0,6,0
"OTU_97.11220",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.11222",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.11229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11238",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11266",3,9,0,0,4,3,0,0,0,0,0,3,19,0,0,1,1,0,0,0
"OTU_97.11269",0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1
"OTU_97.11274",0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,4,0,0
"OTU_97.11287",0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0
"OTU_97.11291",0,0,0,2,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0
"OTU_97.11293",0,3,1,0,0,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0
"OTU_97.11299",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"OTU_97.11303",4,0,2,3,18,4,0,0,1,0,5,2,0,1,0,0,13,6,0,3
"OTU_97.1131",0,0,0,7,0,0,1,0,0,0,0,1,12,3,3,0,4,0,0,0
"OTU_97.11322",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11326",1,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
